refuser_id,real_estate_alert_id,subscription_date,unsubscription_date,platform,distribution_type,estate_type,living_area_min,living_area_max,price_min,price_max,number_of_rooms,location_zipcodes,location_departement,gateway
7d66205c-d8b3-4fb1-b218-8af3473b847f,63382290,2021-09-27 14:24:02.000000,2021-10-13 20:29:36.000000,LOGICIMMO,BUY,{YARD},0,1000,0,0,"{1,2,3,4,5}",{37210},{37},
917b2bd6-c9a6-4029-8953-889b2dba5de1,60916506,2021-01-14 13:59:03.000000,,LOGICIMMO,BUY,{HOUSEORVILLA},70,1000,0,200000,"{1,2,3,4,5}",{51100},,
1be4db1f-4caf-4a01-9744-7af40f004b00,63976815,2021-12-29 10:49:46.000000,,LOGICIMMO,RENT,{APARTMENT},50,1000,0,550,"{1,2,3,4,5}",{66400},,
f3e18148-fd82-4c7e-8be9-610321582123,63766655,2021-11-17 15:09:17.000000,,LOGICIMMO,RENT,,75,1000,0,0,"{1,2,3,4,5}",{68300},,
f864e4d5-af2b-4f25-9a1e-8d3b10b67f34,63967318,2021-12-26 09:32:19.000000,,LOGICIMMO,BUY,{HOUSEORVILLA},0,1000,0,0,"{1,2,3,4,5}",{84130},,
dcc0743e-b268-4b6d-b3d2-3e68670119ce,62587684,2021-07-08 14:40:21.000000,,LOGICIMMO,BUY,,0,1000,0,0,"{1,2,3,4,5}","{84170,84200,84810}",,
2055d686-4365-4c2b-a869-d2b17e6da155,60948799,2021-01-18 09:25:58.000000,2021-04-20 17:50:30.000000,LOGICIMMO,BUY,{APARTMENT},0,10000,0,2000000000,{1},,,
20f1201f-89c8-4815-b3b9-68eb94ed8613,63797489,2021-11-22 06:11:12.000000,,LOGICIMMO,RENT,{APARTMENT},15,1000,0,350,"{1,2,3,4,5}",{13000},,
8f475e92-3881-4f10-be5c-0d02fbfd37cb,61214454,2021-02-16 08:49:42.000000,,LOGICIMMONEUF,NEWSELL,{APARTMENT},,,,,{4},,{06},
1a26ccf3-df27-476d-b556-37bca9563e6e,61152085,2021-02-09 09:46:55.000000,2021-02-26 07:53:06.000000,LOGICIMMO,BUY,{APARTMENT},0,1000,0,0,"{1,2,3,4,5}",{74160},,
612194da-65cf-474e-b90e-4e35f5571804,63576800,2021-10-22 18:04:34.000000,,LOGICIMMO,BUY,{HOUSEORVILLA},0,1000,0,155000,"{1,2,3,4,5}",,{29},
88ac1931-e3f1-422d-b399-e9d511235a2f,62661577,2021-07-16 09:25:07.000000,,LOGICIMMO,RENT,,0,1000,0,0,"{1,2,3,4,5}",{59491},,
d18008f8-8020-4f04-b3c5-75889f75511a,61845114,2021-04-23 17:14:06.000000,,LOGICIMMO,RENT,"{APARTMENT,HOUSEORVILLA}",70,1000,0,900,"{1,2,3,4,5}","{70100,70150,70700}",,
8a199eb0-72bb-4f3a-8b0d-49a8b18a5ffb,63289888,2021-09-17 12:20:03.000000,,LOGICIMMONEUF,NEWSELL,,,,,,"{1,2,3,4,5}",{83140},,
e700fcaf-9b84-4248-8230-b53349e5616d,62558569,2021-07-05 17:37:02.000000,2021-08-16 18:42:04.000000,LOGICIMMO,BUY,{APARTMENT},0,1000,0,250000,"{1,2,3,4,5}",{92130},,
27e0e20b-2d5a-42e1-9593-e2cc49890833,62811493,2021-07-31 17:05:25.000000,,LOGICIMMO,RENT,{APARTMENT},0,1000,0,0,"{1,2,3,4,5}",{69300},,
b53b2347-5b3f-405e-809c-d6627db1c35f,63511602,2021-10-14 09:51:39.000000,,LOGICIMMONEUF,NEWSELL,,,,,,"{1,2,3,4,5}",{42210},,
07e3667a-91cd-4bff-8d07-9c59536f3156,62716663,2021-07-22 09:16:06.000000,,LOGICIMMO,RENT,"{APARTMENT,HOUSEORVILLA,LOFTORWORKSHOPORSURFACE}",30,1000,0,600,"{1,2,3,4,5}",{40130},,
3b567609-de22-4dcb-a895-3aa8870c571a,62423937,2021-06-21 16:58:48.000000,,LOGICIMMO,RENT,,0,1000,0,600,"{1,2,3,4,5}",{13090},,
b3011bde-3346-4d40-b6e9-bf756c4edc82,61140470,2021-02-07 21:50:34.000000,,LOGICIMMO,BUY,{HOUSEORVILLA},0,1000,0,0,"{1,2,3,4,5}",,{54},
c1f1d4ff-1026-45d0-a03a-0593a7f247f1,62242458,2021-06-01 18:54:32.000000,2021-07-26 11:56:34.000000,LOGICIMMONEUF,NEWSELL,,,,,,"{1,2,3,4,5}",{13200},,
a9507fdd-82e2-4c3a-8ab4-437128443120,63120110,2021-09-01 08:49:49.000000,,LOGICIMMO,RENT,,0,1000,0,0,"{1,2,3,4,5}",{13012},,
f59fe3c1-7aed-4962-989d-1c48d55639c8,63745834,2021-11-14 18:18:43.000000,,LOGICIMMO,BUY,,0,1000,0,0,"{1,2,3,4,5}",,{67},
ab5ffbbb-6aa2-4645-9be0-469eeae52fa8,62914838,2021-08-10 18:51:08.000000,2021-09-01 10:42:50.000000,LOGICIMMO,BUY,,0,1000,0,0,"{1,2,3,4,5}",{95110},,
d210d990-b042-41aa-915a-2d5d92bf0124,62981925,2021-08-17 22:41:16.000000,,LOGICIMMO,BUY,{HOUSEORVILLA},0,1000,185600,300000,"{1,2,3,4,5}","{30260,30420}",,
6e3215de-8cef-4fe6-932e-59b2209884f0,63434638,2021-10-03 22:44:52.000000,,LOGICIMMO,BUY,{APARTMENT},45,1000,0,115000,"{1,2,3,4,5}",{38100},,
e6d132f3-f45c-49cc-a080-90bd12f769d0,61125555,2021-02-06 13:02:35.000000,2021-10-22 10:49:55.000000,LOGICIMMO,RENT,,0,1000,0,0,"{1,2,3,4,5}",,{62},
46deb19d-baf5-40a4-9aad-131c3df0a5a1,62985443,2021-08-18 12:05:37.000000,,LOGICIMMONEUF,NEWSELL,{APARTMENT},,,,,"{1,2,3,4,5}",{69400},,
c18c33ea-72c4-4943-acd8-09facbfb66c2,61292735,2021-02-24 14:09:02.000000,2021-03-20 09:27:39.000000,LOGICIMMO,BUY,{HOUSEORVILLA},0,1000,0,900,"{1,2,3,4,5}","{69440,69530}",,
192909ff-a250-4f5c-b071-b77ae270ed22,61446438,2021-03-14 04:51:12.000000,,LOGICIMMO,BUY,,0,1000,0,0,"{1,2,3,4,5}",{97436},,
